customer_id,action,account_type,amount,fee,prev_balance,new_balance,status,message
2025-09-24T09:18:07,100031,add_customer,,,,,,ok,"Customer created (checking=True, savings=False)"
2025-09-24T09:18:16,100031,login,,,,,,ok,Login success
2025-09-24T09:18:35,100031,deposit,checking,300.00,0.00,0.00,300.00,ok,Deposit successful.
2025-09-24T09:53:46,100032,add_customer,,,,,,ok,"Customer created (checking=True, savings=False)"
2025-09-24T09:53:55,100032,login,,,,,,ok,Login success
2025-09-24T09:54:12,100032,deposit,checking,1000.00,0.00,0.00,1000.00,ok,Deposit successful.
2025-09-24T09:55:53,100032,transfer,checking->100031:checking,100.00,0.00,1000.00,900.00,ok,External to 100031 (300.00->400.00)
2025-09-24T10:05:17,100033,add_customer,,,,,,ok,"Customer created (checking=True, savings=False)"
2025-09-24T10:05:28,100033,login,,,,,,ok,Login success
2025-09-24T10:06:18,100033,deposit,checking,1.00,0.00,0.00,1.00,ok,Deposit successful.
2025-09-24T10:06:31,100033,withdraw,checking,101.00,0.00,1.00,1.00,error,over limit
2025-09-24T10:06:38,100033,withdraw,checking,100.00,0.00,1.00,1.00,error,overdraft cap
2025-09-24T10:16:05,100034,add_customer,,,,,,ok,"Customer created (checking=True, savings=False)"
2025-09-24T10:16:17,100034,login,,,,,,ok,Login success
2025-09-24T10:16:26,100034,deposit,checking,100.00,0.00,0.00,100.00,ok,Deposit successful.
2025-09-24T10:16:43,100034,withdraw,checking,101.00,0.00,100.00,100.00,error,over limit
2025-09-24T10:16:52,100034,withdraw,checking,100.00,0.00,100.00,0.00,ok,Withdraw successful.
2025-09-24T10:17:04,100034,withdraw,checking,100.00,0.00,0.00,0.00,error,overdraft cap
2025-09-24T10:17:26,100034,withdraw,checking,30.00,35.00,0.00,-65.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:17:34,100034,withdraw,checking,10.00,0.00,-65.00,-65.00,error,overdraft cap
2025-09-24T10:17:45,100034,deposit,checking,200.00,0.00,-65.00,135.00,ok,Deposit successful.
2025-09-24T10:26:14,100035,add_customer,,,,,,ok,"Customer created (checking=True, savings=False)"
2025-09-24T10:26:34,100035,login,,,,,,ok,Login success
2025-09-24T10:26:52,100035,withdraw,checking,65.00,35.00,0.00,-100.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:27:01,100035,withdraw,checking,1.00,0.00,-100.00,-100.00,error,overdraft cap
2025-09-24T10:27:13,100035,deposit,checking,200.00,0.00,-100.00,100.00,ok,Account reactivated. Deposit successful.
2025-09-24T10:27:51,100035,withdraw,checking,65.00,0.00,100.00,35.00,ok,Withdraw successful.
2025-09-24T10:28:02,100035,withdraw,checking,40.00,35.00,35.00,-40.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:28:16,100035,withdraw,checking,5.00,35.00,-40.00,-80.00,ok,Overdraft fee $35.00 applied. Account deactivated.
2025-09-24T10:29:12,100035,deposit,checking,200.00,0.00,-80.00,120.00,ok,Account reactivated. Deposit successful.
2025-09-24T10:29:25,100035,withdraw,checking,130.00,0.00,120.00,120.00,error,over limit
2025-09-24T10:29:33,100035,withdraw,checking,100.00,0.00,120.00,20.00,ok,Withdraw successful.
2025-09-24T10:29:39,100035,withdraw,checking,50.00,35.00,20.00,-65.00,ok,Overdraft fee $35.00 applied. Account deactivated.
2025-09-24T10:42:15,100036,add_customer,,,,,,ok,"Customer created (checking=True, savings=False)"
2025-09-24T10:42:24,100036,login,,,,,,ok,Login success
2025-09-24T10:42:34,100036,create_account,savings,0.00,0.00,0.00,0.00,ok,Account created
2025-09-24T10:42:34,100036,login,,,,,,ok,Login success
2025-09-24T10:46:58,100037,add_customer,,,,,,ok,"Customer created (checking=True, savings=False)"
2025-09-24T10:47:06,100037,login,,,,,,ok,Login success
2025-09-24T10:47:26,100037,withdraw,checking,100.00,0.00,0.00,0.00,error,overdraft cap
2025-09-24T10:47:52,100037,withdraw,checking,65.00,35.00,0.00,-100.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:48:53,100037,deposit,checking,200.00,0.00,-100.00,100.00,ok,Account reactivated. Deposit successful.
2025-09-24T10:49:02,100037,withdraw,checking,100.00,0.00,100.00,0.00,ok,Withdraw successful.
2025-09-24T10:49:09,100037,withdraw,checking,50.00,35.00,0.00,-85.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:49:22,100037,withdraw,checking,10.00,0.00,-85.00,-85.00,error,overdraft cap
2025-09-24T10:49:30,100037,deposit,checking,200.00,0.00,-85.00,115.00,ok,Account reactivated. Deposit successful.
2025-09-24T10:49:43,100037,withdraw,checking,100.00,0.00,115.00,15.00,ok,Withdraw successful.
2025-09-24T10:49:50,100037,withdraw,checking,50.00,35.00,15.00,-70.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:50:14,100037,deposit,checking,200.00,0.00,-70.00,130.00,ok,Account reactivated. Deposit successful.
2025-09-24T10:50:23,100037,withdraw,checking,100.00,0.00,130.00,30.00,ok,Withdraw successful.
2025-09-24T10:50:34,100037,withdraw,checking,31.00,35.00,30.00,-36.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:50:41,100037,withdraw,checking,5.00,35.00,-36.00,-76.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:51:05,100037,deposit,checking,200.00,0.00,-76.00,124.00,ok,Account reactivated. Deposit successful.
2025-09-24T10:51:15,100037,withdraw,checking,100.00,0.00,124.00,24.00,ok,Withdraw successful.
2025-09-24T10:51:24,100037,withdraw,checking,25.00,35.00,24.00,-36.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:51:33,100037,withdraw,checking,1.00,35.00,-36.00,-72.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:51:47,100037,withdraw,checking,1.00,0.00,-72.00,-72.00,error,overdraft cap
2025-09-24T10:51:55,100037,deposit,checking,100.00,0.00,-72.00,28.00,ok,Account reactivated. Deposit successful.
2025-09-24T10:52:12,100037,withdraw,checking,28.00,0.00,28.00,0.00,ok,Withdraw successful.
2025-09-24T10:52:18,100037,withdraw,checking,1.00,35.00,0.00,-36.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:52:26,100037,withdraw,checking,1.00,35.00,-36.00,-72.00,ok,Overdraft fee $35.00 applied.
2025-09-24T10:52:34,100037,withdraw,checking,1.00,0.00,-72.00,-72.00,error,overdraft cap
2025-09-24T11:02:16,100038,add_customer,,,,,,ok,"Customer created (checking=True, savings=False)"
2025-09-24T11:02:31,100038,login,,,,,,ok,Login success
2025-09-24T11:03:01,100038,withdraw,checking,1.00,35.00,0.00,-36.00,ok,Overdraft fee $35.00 applied.
2025-09-24T11:03:09,100038,withdraw,checking,1.00,35.00,-36.00,-72.00,ok,Overdraft fee $35.00 applied. Account deactivated.
2025-09-24T11:03:32,100038,deposit,checking,100.00,0.00,-72.00,28.00,ok,Account reactivated. Deposit successful.
2025-09-24T11:03:41,100038,create_account,savings,0.00,0.00,0.00,0.00,ok,Account created
2025-09-24T11:03:41,100038,login,,,,,,ok,Login success
2025-09-24T11:04:42,100038,transfer,checking->savings,1.00,0.00,28.00,27.00,ok,Internal: checking→savings (0.00->1.00)
2025-09-24T11:04:56,100038,transfer,savings->checking,1.00,0.00,1.00,0.00,ok,Internal: savings→checking (27.00->28.00)
